population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,tick,government_capital,private_capital
150,33.74997243395109,83.77033166238947,10.0,249.7612665424785,0.0,0.3061651451101719,0.8666666666666667,0.29265280406241323,0.0,0,0.0,0,5000.0,6000.0
150,33.75271215997849,83.27033166238947,10.60504013367551,258.3267673633283,0.0,0.31137501543848467,0.6160714285714286,0.3053194707290799,0.0,0,0.0,1,5114.547198182007,5261.703818701941
150,33.75545188600589,82.77033166238947,10.529072240615916,270.6244430619264,0.0,0.32223870148928024,0.625,0.30798613739574654,0.0,0,0.0,2,5212.18687472782,3977.270682546572
150,33.758191612033286,82.14699832905613,10.474964592834908,282.4979038390968,0.0,0.3300548618588304,0.6237623762376238,0.30898613739574654,0.0,0,0.0,3,5274.609781801059,2893.00980436343
150,33.760931338060686,80.20699832905613,10.009229407943437,277.22629388286543,0.0,0.35941231181248967,0.67,0.3093194707290799,0.0,0,0.0,4,5362.383623377815,4157.3477323456445
150,33.763671064088086,79.71366499572281,10.884156993363591,287.8817261626035,0.0,0.36973135136018875,0.6868686868686869,0.3096528040624132,0.0,0,0.0,5,5381.218149688475,3196.5557790504695
150,33.766410790115486,78.61034283602048,11.250760909516904,291.34563886424553,0.0,0.3901797253824253,0.6767676767676768,0.3096528040624132,0.0,0,0.0,6,5461.449134897776,3300.5837942706185
150,33.76915051614288,78.10595053503178,11.915210600526004,292.7616406909593,0.0,0.4141300309956397,0.696969696969697,0.3096528040624132,0.0,0,0.0,7,5622.393528343355,3582.276467831206
150,33.77189024217028,77.28103473007963,12.990873869514465,298.2933942813508,0.0,0.4244087279951507,0.7142857142857143,0.30998613739574654,0.0,0,0.0,8,5770.479989201584,3390.1992992597648
150,33.77462996819768,76.11751751996074,14.17517126455708,298.41664200006824,0.0,0.44450471781767287,0.7448979591836735,0.30998613739574654,0.0,0,0.0,9,5970.294310731199,3871.1256829215495
150,33.77736969422508,74.69655447586626,15.816345497323006,300.64735478504906,0.0,0.45729113420459133,0.7319587628865979,0.3103194707290799,0.0,0,0.0,10,6186.663706865062,4050.5496002280197
150,33.78010942025247,74.05563183486011,16.834815484743693,303.66520360933623,0.0,0.4715644919445299,0.7525773195876289,0.3103194707290799,0.0,0,0.0,11,6400.832670142746,4017.3632389676022
150,33.78284914627987,72.90023477905227,18.30625136202082,304.08525608335026,0.0,0.4898297628942545,0.7628865979381443,0.3103194707290799,0.0,0,0.0,12,6645.12124384987,4288.279266796665
150,33.78558887230727,72.66386890047913,18.863407919986695,303.21210678407414,0.16,0.5072962367994318,0.75,0.31065280406241325,0.0,0,0.0,13,6942.21746694349,4750.498620837217
150,33.78832859833467,71.81238919444291,19.583306647279525,307.2313113989804,0.14714906614349993,0.5168736089961594,0.7395833333333334,0.31065280406241325,0.0,0,0.0,14,7217.740574484957,4536.417265099418
150,33.791068324362065,71.62946537568696,19.815703507618625,306.20103772420606,0.2955837433273584,0.5369540056890092,0.7291666666666666,0.31065280406241325,0.0,0,0.0,15,7550.147878029485,5099.649583050775
150,33.793808050389465,71.39910201709884,20.847514513061828,307.3790560482283,0.27219865039953,0.5512037923883797,0.7708333333333334,0.31065280406241325,0.0,0,0.0,16,7884.850957976768,5138.6585443377635
150,33.796547776416865,71.03342546191053,21.496626402903292,308.9526316184014,1.219153081550469,0.561984528882082,0.7368421052631579,0.31098613739574654,0.0,0,0.0,17,8239.920236686532,5336.349580765252
150,33.799287502444265,70.0400788611513,22.907370083610807,308.83203043466403,1.4789532907387095,0.5783224905140234,0.7473684210526316,0.31098613739574654,0.0,0,0.0,18,8627.719094282527,5627.29121284061
150,33.80202722847166,68.51964198212004,24.21948170876557,311.83471990481763,1.5499398653397944,0.5863203546050013,0.7263157894736842,0.31098613739574654,0.0,0,0.0,19,9004.374572876131,5497.375829534329
148,33.6774246518068,68.03864170631519,24.66492859420249,316.77633560219084,1.943120761752754,0.5948697829605305,0.7526881720430108,0.3141555038624726,0.0,2,43.2280973537261,20,9394.601010367584,5634.747681236359
147,33.595778908712816,67.7630786652026,24.873252579298047,321.13339188553135,3.144715146549938,0.6020320038053617,0.717391304347826,0.31336753394413835,0.0,3,44.1803410153766,21,9795.641310867099,5772.722154688065
146,33.509813501931966,67.11209959841453,25.425713596022284,325.8689351905146,3.9397627520875442,0.6090034192145359,0.7142857142857143,0.3109166391581307,0.0,4,44.77262276771865,22,10199.21408807387,5752.1931871264815
146,33.512553227959366,66.48933868234849,26.195919500953686,328.3495765812877,5.678899616550572,0.6192128616925261,0.7142857142857143,0.3109166391581307,0.0,4,44.77262276771865,23,10609.666094317174,5887.500375178436
146,33.51529295398676,65.47780802646031,27.276353722199747,331.32216143128625,6.8081182006368035,0.6314033930329932,0.7142857142857143,0.3109166391581307,0.0,4,44.77262276771865,24,11020.409406693354,5818.702625552293
